Timestamp,Q1  How would you describe your academic performance overall this semester?,Q2  Roughly what percentage of your scheduled classes have you attended this semester?,"Q3  Out of the last 5 assignments or coursework submissions due, how many did you submit on time?","Q4  Have you ever repeated, or are you currently repeating, any course at KNUST?","Q5  In the past three months, have you seriously considered withdrawing from KNUST or taking a break of one semester or more from your studies?","Q6  Over the last 2 weeks, how often have you been bothered by... little interest or pleasure in doing things?","Q7  Over the last 2 weeks, how often have you been bothered by... feeling down, depressed, or hopeless?","Q8  Over the last 2 weeks, how often have you been bothered by... feeling nervous, anxious, or on edge?","Q9  Over the last 2 weeks, how often have you been bothered by... not being able to stop or control worrying?","Q10   In the current semester, to what extent has financial difficulty affected your ability to fully participate in your studies? (For example: inability to buy required textbooks, pay exam fees, or cover transport to campus.)","Q11   How would you describe your ability to access the internet reliably for academic work? (For example: downloading lecture notes, submitting assignments online, attending virtual classes.)","Q12   Do you have significant responsibilities outside of your studies — such as paid work, caring for family members, or supporting your household financially — that regularly compete with your study time?",Which faculty or college are you currently enrolled in at KNUST?,"  If you selected Other Faculty, please specify your faculty or school.  ",Q14   What year of study are you currently in?,What is your gender?,"Q16   Thinking about your overall experience at KNUST, how strongly do you feel that you belong here as a student?"
2026/06/10 1:54:42 PM GMT,Good,More than 80%,All 5,No,No,Not at all,More than half the days,Not at all,Nearly every day,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/13 9:38:48 PM GMT,Good,More than 80%,,No,No,Not at all,Nearly every day,Not at all,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Health Sciences,,Year 3,Female,Strongly agree — I feel I belong here
2026/05/30 11:42:06 AM GMT,Below Average,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Arts and Social Sciences,,Year 1,Male,Agree — I mostly feel I belong here
2026/06/17 1:20:50 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Several days,Severely — it has significantly limited my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,School of Business,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/12 8:40:58 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,More than half the days,Several days,More than half the days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Neutral
2026/06/01 3:18:35 PM GMT,Good,Less than 40%,All 5,No,No,Several days,Not at all,Not at all,Not at all,Not at all,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,College of Science,,Year 3,Male,Strongly agree — I feel I belong here
2026/06/13 9:44:03 PM GMT,Good,60–80%,,No,"Yes, I have seriously considered this",Several days,Several days,Not at all,Several days,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 2,Female,Agree — I mostly feel I belong here
2026/05/11 5:41:17 PM GMT,Average,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,Several days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 3,Male,Strongly agree — I feel I belong here
2026/06/14 10:37:32 AM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Not at all,Several days,Nearly every day,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 2,Male,Agree — I mostly feel I belong here
2026/05/29 12:34:29 AM GMT,Average,More than 80%,All 5,No,No,Several days,Several days,Several days,Not at all,Not at all,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,School of Business,,Year 4,Female,Strongly agree — I feel I belong here
2026/05/29 11:46:48 AM GMT,Excellent,More than 80%,All 5,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,Not at all,Nearly every day,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 1,Male,Agree — I mostly feel I belong here
2026/06/16 9:01:08 PM GMT,Excellent,40–60%,All 5,No,No,Nearly every day,More than half the days,Several days,Several days,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,,Year 2,Female,Agree — I mostly feel I belong here
2026/06/15 8:53:39 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,,Year 1,Male,Strongly agree — I feel I belong here
2026/06/13 9:25:38 PM GMT,Average,More than 80%,All 5,No,No,Nearly every day,Several days,Several days,Several days,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,Sometimes — these occasionally affect my study time,College of Science,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/12 8:40:04 PM GMT,Good,60–80%,All 5,No,I have thought about it briefly but not seriously,More than half the days,Nearly every day,Several days,Not at all,Not at all,Reliable access — rarely a problem,No — these do not significantly affect my study time,School of Business,,Year 4,Female,Strongly agree — I feel I belong here
2026/06/14 10:37:37 AM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Not at all,Not at all,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Female,Agree — I mostly feel I belong here
2026/06/12 9:02:42 PM GMT,Good,More than 80%,All 5,No,"Yes, I have seriously considered this",Not at all,Several days,Several days,Nearly every day,Slightly — it has rarely affected my participation,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 4,Male,Neutral
2026/05/30 11:45:08 AM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Several days,Nearly every day,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,No — these do not significantly affect my study time,Other Faculty,faculty of built environment ,Year 1,Female,Strongly agree — I feel I belong here
2026/06/13 9:48:36 PM GMT,Good,More than 80%,All 5,No,I have thought about it briefly but not seriously,Several days,Several days,More than half the days,Not at all,Not at all,Frequently unreliable — regular difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Strongly agree — I feel I belong here
2026/05/30 11:39:14 AM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,Not at all,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,College of Science,,Year 1,Male,Agree — I mostly feel I belong here
2026/06/01 3:18:35 PM GMT,Average,More than 80%,All 5,No,No,Not at all,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Mostly reliable — occasional difficulties,No — these do not significantly affect my study time,School of Business,,Year 5 or above (undergraduate),Female,Neutral
2026/06/16 8:50:57 PM GMT,Average,60–80%,All 5,No,"Yes, I have seriously considered this",Several days,Several days,Several days,Several days,Moderately — it has sometimes limited my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,College of Science,,Year 2,Male,Agree — I mostly feel I belong here
2026/06/01 1:08:17 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Several days,More than half the days,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,Other Faculty,Renewable Natural Resources ,Year 4,Male,Agree — I mostly feel I belong here
2026/06/01 5:28:27 AM GMT,Good,More than 80%,All 5,No,No,Not at all,Several days,Several days,Not at all,Severely — it has significantly limited my participation,Reliable access — rarely a problem,Yes — these regularly take significant time from my studies,School of Business,,Year 4,Male,Strongly agree — I feel I belong here
2026/06/12 9:10:17 PM GMT,Good,More than 80%,All 5,No,No,Several days,Several days,Nearly every day,Several days,Slightly — it has rarely affected my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,School of Business,,Year 2,Male,Strongly agree — I feel I belong here
2026/06/15 8:47:32 PM GMT,Good,More than 80%,All 5,No,No,Several days,Not at all,Not at all,Several days,Moderately — it has sometimes limited my participation,Very limited — a serious barrier to my studies,Sometimes — these occasionally affect my study time,School of Business,,Year 1,Male,Neutral
2026/05/30 11:41:50 AM GMT,Good,60–80%,3 or 4,No,I have thought about it briefly but not seriously,Not at all,Nearly every day,Several days,Nearly every day,Severely — it has significantly limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,College of Health Sciences,,Year 4,Male,Neutral
2026/05/28 1:22:04 PM GMT,Average,60–80%,All 5,Yes,I have thought about it briefly but not seriously,More than half the days,More than half the days,Several days,Several days,Moderately — it has sometimes limited my participation,Mostly reliable — occasional difficulties,Sometimes — these occasionally affect my study time,Other Faculty,,Year 2,Female,Agree — I mostly feel I belong here
2026/06/16 9:44:26 PM GMT,Good,More than 80%,3 or 4,No,No,Not at all,Not at all,Several days,Not at all,Slightly — it has rarely affected my participation,Reliable access — rarely a problem,Sometimes — these occasionally affect my study time,School of Business,,Year 2,Male,Strongly agree — I feel I belong here
